fecha,Municipio,dia_semana,indicador_movilidad,Casos Covid,indicador_recarga,PIB
20200101,Cadereyta Jiménez,MIERCOLES,0.8700641658,0,0.711413446,"16,295.00"
20200102,Cadereyta Jiménez,JUEVES,0.9377686092,0,1.416291666,"16,295.00"
20200103,Cadereyta Jiménez,VIERNES,1.000409264,0,1.014513355,"16,295.00"
20200104,Cadereyta Jiménez,SABADO,0.9385836666,0,0.931978371,"16,295.00"
20200105,Cadereyta Jiménez,DOMINGO,0.9521928595,0,0.969101516,"16,295.00"
20200106,Cadereyta Jiménez,LUNES,0.9612121064,0,1.093103914,"16,295.00"
20200107,Cadereyta Jiménez,MARTES,0.9312876552,0,1.119084093,"16,295.00"
20200108,Cadereyta Jiménez,MIERCOLES,0.9429911155,0,1.101571715,"16,295.00"
20200109,Cadereyta Jiménez,JUEVES,0.9463641052,0,0.991188596,"16,295.00"
20200110,Cadereyta Jiménez,VIERNES,0.9358900284,0,0.920417288,"16,295.00"
20200111,Cadereyta Jiménez,SABADO,0.9408793785,0,1.057543815,"16,295.00"
20200112,Cadereyta Jiménez,DOMINGO,0.9462042252,0,0.976693555,"16,295.00"
20200113,Cadereyta Jiménez,LUNES,0.950834483,0,1.075627224,"16,295.00"
20200114,Cadereyta Jiménez,MARTES,0.9451911115,0,0.993308071,"16,295.00"
20200115,Cadereyta Jiménez,MIERCOLES,0.9441016782,0,1.015113696,"16,295.00"
20200116,Cadereyta Jiménez,JUEVES,0.9284363565,0,0.939020776,"16,295.00"
20200117,Cadereyta Jiménez,VIERNES,0.9209639366,0,0.917115671,"16,295.00"
20200118,Cadereyta Jiménez,SABADO,0.9292799923,0,1.030107934,"16,295.00"
20200119,Cadereyta Jiménez,DOMINGO,0.9105272547,0,0.91640383,"16,295.00"
20200120,Cadereyta Jiménez,LUNES,0.9275153528,0,1.136525382,"16,295.00"
20200121,Cadereyta Jiménez,MARTES,0.8887235651,0,0.96363783,"16,295.00"
20200122,Cadereyta Jiménez,MIERCOLES,0.9125123396,0,1.180349453,"16,295.00"
20200123,Cadereyta Jiménez,JUEVES,0.9369090597,0,0.851283986,"16,295.00"
20200124,Cadereyta Jiménez,VIERNES,0.9316770186,0,1.005158776,"16,295.00"
20200125,Cadereyta Jiménez,SABADO,0.8881988328,0,1.048791264,"16,295.00"
20200126,Cadereyta Jiménez,DOMINGO,0.9013531765,0,1.00862478,"16,295.00"
20200127,Cadereyta Jiménez,LUNES,0.9062717472,0,0.984820504,"16,295.00"
20200128,Cadereyta Jiménez,MARTES,0.8956752933,0,0.967937864,"16,295.00"
20200129,Cadereyta Jiménez,MIERCOLES,0.9096742349,0,0.980881587,"16,295.00"
20200130,Cadereyta Jiménez,JUEVES,0.914683563,0,0.94160761,"16,295.00"
20200131,Cadereyta Jiménez,VIERNES,0.8894265492,0,1.07449272,"16,295.00"
20200201,Cadereyta Jiménez,SABADO,0.9916266931,0,1.02068211,"16,295.00"
20200202,Cadereyta Jiménez,DOMINGO,0.9923294513,0,1.057079856,"16,295.00"
20200203,Cadereyta Jiménez,LUNES,0.9057833885,0,0.814197559,"16,295.00"
20200204,Cadereyta Jiménez,MARTES,0.9859257994,0,1.140799269,"16,295.00"
20200205,Cadereyta Jiménez,MIERCOLES,0.9845755183,0,1.157747483,"16,295.00"
20200206,Cadereyta Jiménez,JUEVES,0.9879908642,0,0.980410121,"16,295.00"
20200207,Cadereyta Jiménez,VIERNES,0.9896961818,0,1.003691391,"16,295.00"
20200208,Cadereyta Jiménez,SABADO,0.9981513478,0,1.012939469,"16,295.00"
20200209,Cadereyta Jiménez,DOMINGO,0.9851940572,0,1.05261395,"16,295.00"
20200210,Cadereyta Jiménez,LUNES,0.9891706448,0,0.891851718,"16,295.00"
20200211,Cadereyta Jiménez,MARTES,0.9527526404,0,0.922357494,"16,295.00"
20200212,Cadereyta Jiménez,MIERCOLES,0.945088845,0,0.860191458,"16,295.00"
20200213,Cadereyta Jiménez,JUEVES,0.9570470788,0,0.968338229,"16,295.00"
20200214,Cadereyta Jiménez,VIERNES,0.9809090471,0,1.084030723,"16,295.00"
