fecha,Municipio,dia_semana,indicador_movilidad,Casos Covid,indicador_recarga,Clase_socioe
20200101,Cadereyta Jiménez,MIERCOLES,0.8700641658,0,0.711413446,Media
20200102,Cadereyta Jiménez,JUEVES,0.9377686092,0,1.416291666,Media
20200103,Cadereyta Jiménez,VIERNES,1.000409264,0,1.014513355,Media
20200104,Cadereyta Jiménez,SABADO,0.9385836666,0,0.931978371,Media
20200105,Cadereyta Jiménez,DOMINGO,0.9521928595,0,0.969101516,Media
20200106,Cadereyta Jiménez,LUNES,0.9612121064,0,1.093103914,Media
20200107,Cadereyta Jiménez,MARTES,0.9312876552,0,1.119084093,Media
20200108,Cadereyta Jiménez,MIERCOLES,0.9429911155,0,1.101571715,Media
20200109,Cadereyta Jiménez,JUEVES,0.9463641052,0,0.991188596,Media
20200110,Cadereyta Jiménez,VIERNES,0.9358900284,0,0.920417288,Media
20200111,Cadereyta Jiménez,SABADO,0.9408793785,0,1.057543815,Media
20200112,Cadereyta Jiménez,DOMINGO,0.9462042252,0,0.976693555,Media
20200113,Cadereyta Jiménez,LUNES,0.950834483,0,1.075627224,Media
20200114,Cadereyta Jiménez,MARTES,0.9451911115,0,0.993308071,Media
20200115,Cadereyta Jiménez,MIERCOLES,0.9441016782,0,1.015113696,Media
20200116,Cadereyta Jiménez,JUEVES,0.9284363565,0,0.939020776,Media
20200117,Cadereyta Jiménez,VIERNES,0.9209639366,0,0.917115671,Media
20200118,Cadereyta Jiménez,SABADO,0.9292799923,0,1.030107934,Media
20200119,Cadereyta Jiménez,DOMINGO,0.9105272547,0,0.91640383,Media
20200120,Cadereyta Jiménez,LUNES,0.9275153528,0,1.136525382,Media
20200121,Cadereyta Jiménez,MARTES,0.8887235651,0,0.96363783,Media
20200122,Cadereyta Jiménez,MIERCOLES,0.9125123396,0,1.180349453,Media
20200123,Cadereyta Jiménez,JUEVES,0.9369090597,0,0.851283986,Media
20200124,Cadereyta Jiménez,VIERNES,0.9316770186,0,1.005158776,Media
20200125,Cadereyta Jiménez,SABADO,0.8881988328,0,1.048791264,Media
20200126,Cadereyta Jiménez,DOMINGO,0.9013531765,0,1.00862478,Media
20200127,Cadereyta Jiménez,LUNES,0.9062717472,0,0.984820504,Media
20200128,Cadereyta Jiménez,MARTES,0.8956752933,0,0.967937864,Media
20200129,Cadereyta Jiménez,MIERCOLES,0.9096742349,0,0.980881587,Media
20200130,Cadereyta Jiménez,JUEVES,0.914683563,0,0.94160761,Media
20200131,Cadereyta Jiménez,VIERNES,0.8894265492,0,1.07449272,Media
20200201,Cadereyta Jiménez,SABADO,0.9916266931,0,1.02068211,Media
20200202,Cadereyta Jiménez,DOMINGO,0.9923294513,0,1.057079856,Media
20200203,Cadereyta Jiménez,LUNES,0.9057833885,0,0.814197559,Media
20200204,Cadereyta Jiménez,MARTES,0.9859257994,0,1.140799269,Media
20200205,Cadereyta Jiménez,MIERCOLES,0.9845755183,0,1.157747483,Media
20200206,Cadereyta Jiménez,JUEVES,0.9879908642,0,0.980410121,Media
20200207,Cadereyta Jiménez,VIERNES,0.9896961818,0,1.003691391,Media
20200208,Cadereyta Jiménez,SABADO,0.9981513478,0,1.012939469,Media
20200209,Cadereyta Jiménez,DOMINGO,0.9851940572,0,1.05261395,Media
20200210,Cadereyta Jiménez,LUNES,0.9891706448,0,0.891851718,Media
20200211,Cadereyta Jiménez,MARTES,0.9527526404,0,0.922357494,Media
20200212,Cadereyta Jiménez,MIERCOLES,0.945088845,0,0.860191458,Media
20200213,Cadereyta Jiménez,JUEVES,0.9570470788,0,0.968338229,Media
20200214,Cadereyta Jiménez,VIERNES,0.9809090471,0,1.084030723,Media
20200215,Cadereyta Jiménez,SABADO,0.9527204185,0,0.98028572,Media
20200216,Cadereyta Jiménez,DOMINGO,0.9737264596,0,1.066011667,Media
20200217,Cadereyta Jiménez,LUNES,0.9524216489,0,0.939056799,Media
20200218,Cadereyta Jiménez,MARTES,0.9450691514,0,0.987718025,Media
20200219,Cadereyta Jiménez,MIERCOLES,0.9441016782,0,0.992731163,Media
20200220,Cadereyta Jiménez,JUEVES,0.9188585181,0,0.911859018,Media
20200221,Cadereyta Jiménez,VIERNES,0.8997785161,0,0.980580076,Media
20200222,Cadereyta Jiménez,SABADO,0.9233594722,0,0.917671316,Media
20200223,Cadereyta Jiménez,DOMINGO,0.950409011,0,0.953470846,Media
20200224,Cadereyta Jiménez,LUNES,0.9573052364,0,1.0648169,Media
20200225,Cadereyta Jiménez,MARTES,0.9579969266,0,0.905157354,Media
20200226,Cadereyta Jiménez,MIERCOLES,0.9095508391,0,0.850975121,Media
20200227,Cadereyta Jiménez,JUEVES,0.9052285174,0,0.870900811,Media
20200228,Cadereyta Jiménez,VIERNES,0.9189176176,0,0.951966067,Media
20200229,Cadereyta Jiménez,SABADO,0.9228761645,0,1.044583307,Media
20200301,Cadereyta Jiménez,DOMINGO,1.007364746,0,1.008401485,Media
20200302,Cadereyta Jiménez,LUNES,0.9888043757,0,1.056528985,Media
20200303,Cadereyta Jiménez,MARTES,0.971900383,0,1.001478137,Media
20200304,Cadereyta Jiménez,MIERCOLES,0.978035538,0,1.045834819,Media
20200305,Cadereyta Jiménez,JUEVES,0.9668705027,0,0.832960578,Media
20200306,Cadereyta Jiménez,VIERNES,0.9695941066,0,0.993052849,Media
20200307,Cadereyta Jiménez,SABADO,0.9690320554,0,0.909255402,Media
